corpus,model,tier,query_format,n_docs,B,delta_full,correct,p_correct,ci_lo,ci_hi
er_reason,Nomic-embed-text-nopfx,1,nl,50,500,-0.2270476190476189,439,0.878,0.8463946427702861,0.9038411456203509
er_reason,Nomic-embed-text-nopfx,1,nl,75,500,-0.2270476190476189,499,0.998,0.9887590072528046,0.9996468726904154
er_reason,Nomic-embed-text-nopfx,1,keyword,10,500,-0.10889285714285701,166,0.332,0.2921397376306511,0.3744221341957325
er_reason,Nomic-embed-text-nopfx,1,keyword,20,500,-0.10889285714285701,293,0.586,0.5423304138904992,0.6283581517221855
er_reason,Nomic-embed-text-nopfx,1,keyword,30,500,-0.10889285714285701,388,0.776,0.737429591400892,0.8103616191700495
er_reason,Nomic-embed-text-nopfx,1,keyword,50,500,-0.10889285714285701,489,0.978,0.9610387448516022,0.9876721198328542
er_reason,Nomic-embed-text-nopfx,1,keyword,75,500,-0.10889285714285701,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,Phi-3-mini,2,nl,10,500,0.23172619047619047,351,0.702,0.6604921922645164,0.7404274618489985
er_reason,Phi-3-mini,2,nl,20,500,0.23172619047619047,425,0.85,0.8160382472597502,0.8786245197686174
er_reason,Phi-3-mini,2,nl,30,500,0.23172619047619047,474,0.948,0.9248983617059371,0.9642699800903735
er_reason,Phi-3-mini,2,nl,50,500,0.23172619047619047,498,0.996,0.9855339859585811,0.9989023924587627
er_reason,Phi-3-mini,2,nl,75,500,0.23172619047619047,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,Phi-3-mini,2,keyword,10,500,0.26166269841269846,373,0.746,0.7060683153605514,0.7821803723222442
er_reason,Phi-3-mini,2,keyword,20,500,0.26166269841269846,474,0.948,0.9248983617059371,0.9642699800903735
er_reason,Phi-3-mini,2,keyword,30,500,0.26166269841269846,491,0.982,0.9661479527879661,0.9905019149482431
er_reason,Phi-3-mini,2,keyword,50,500,0.26166269841269846,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,Phi-3-mini,2,keyword,75,500,0.26166269841269846,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BERT-base-uncased,2,nl,10,500,0.02398809523809524,320,0.64,0.5970058131108227,0.6808592937005244
mimic_discharge,BERT-base-uncased,2,nl,20,500,0.02398809523809524,363,0.726,0.6852936486809578,0.7632600237430738
mimic_discharge,BERT-base-uncased,2,nl,30,500,0.02398809523809524,408,0.816,0.7796701866722183,0.8475110544162506
mimic_discharge,BERT-base-uncased,2,nl,50,500,0.02398809523809524,460,0.92,0.8928931229079627,0.9407021975260784
mimic_discharge,BERT-base-uncased,2,nl,75,500,0.02398809523809524,479,0.958,0.9366479487604386,0.9723679006652538
mimic_discharge,BERT-base-uncased,2,keyword,10,500,0.09337698412698409,313,0.626,0.582777860120605,0.6673007360096074
mimic_discharge,BERT-base-uncased,2,keyword,20,500,0.09337698412698409,408,0.816,0.7796701866722183,0.8475110544162506
mimic_discharge,BERT-base-uncased,2,keyword,30,500,0.09337698412698409,466,0.932,0.9064785429161282,0.9509337866731715
mimic_discharge,BERT-base-uncased,2,keyword,50,500,0.09337698412698409,492,0.984,0.9687485245822888,0.9918708446797967
mimic_discharge,BERT-base-uncased,2,keyword,75,500,0.09337698412698409,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BGE-base,1,nl,10,500,-0.06066666666666698,103,0.206,0.17285607517585092,0.24362720052032025
mimic_discharge,BGE-base,1,nl,20,500,-0.06066666666666698,194,0.388,0.34629528411824795,0.4314126304326744
mimic_discharge,BGE-base,1,nl,30,500,-0.06066666666666698,252,0.504,0.4603113571655595,0.5476276458861933
mimic_discharge,BGE-base,1,nl,50,500,-0.06066666666666698,372,0.744,0.7039862648123214,0.7802929213445977
mimic_discharge,BGE-base,1,nl,75,500,-0.06066666666666698,489,0.978,0.9610387448516022,0.9876721198328542
mimic_discharge,BGE-base,1,keyword,10,500,-0.030333333333333323,136,0.272,0.2348434449332605,0.3126333811168315
mimic_discharge,BGE-base,1,keyword,20,500,-0.030333333333333323,271,0.542,0.4981733601090301,0.5851861719343742
mimic_discharge,BGE-base,1,keyword,30,500,-0.030333333333333323,330,0.66,0.617398269756609,0.7001618523135019
mimic_discharge,BGE-base,1,keyword,50,500,-0.030333333333333323,405,0.81,0.7732995724391238,0.8419731640717161
mimic_discharge,BGE-base,1,keyword,75,500,-0.030333333333333323,473,0.946,0.9225729387555679,0.9626259015148662
mimic_discharge,BioBERT,2,nl,10,500,0.13282936507936507,358,0.716,0.6749432769152115,0.7537628878794382
mimic_discharge,BioBERT,2,nl,20,500,0.13282936507936507,458,0.916,0.8884001169044927,0.9372562004777957
mimic_discharge,BioBERT,2,nl,30,500,0.13282936507936507,491,0.982,0.9661479527879661,0.9905019149482431
mimic_discharge,BioBERT,2,nl,50,500,0.13282936507936507,498,0.996,0.9855339859585811,0.9989023924587627
mimic_discharge,BioBERT,2,nl,75,500,0.13282936507936507,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BioBERT,2,keyword,10,500,0.1806825396825396,411,0.822,0.7860541079213073,0.853035637744791
