model,corpus,query_format,epsilon,baseline_MRR@10,corpus_only_ZCA_MRR@10,dMRR@10,Recall@10,tier
MedCPT,PMC-Patients,natural_language,0.01,0.8839285714285714,0.8926944444444445,0.00876587301587306,1.0,1
MedCPT,Synthetic,keyword,1e-07,0.7087777777777778,0.453234126984127,-0.2555436507936508,0.75,1
MedCPT,Synthetic,keyword,1e-06,0.7087777777777778,0.45573015873015876,-0.2530476190476191,0.75,1
MedCPT,Synthetic,keyword,1e-05,0.7087777777777778,0.45356349206349206,-0.2552142857142858,0.75,1
MedCPT,Synthetic,keyword,0.0001,0.7087777777777778,0.49221428571428577,-0.21656349206349207,0.8,1
MedCPT,Synthetic,keyword,0.001,0.7087777777777778,0.6070079365079365,-0.10176984126984134,0.92,1
MedCPT,Synthetic,keyword,0.01,0.7087777777777778,0.6674166666666665,-0.04136111111111129,0.93,1
MedCPT,Synthetic,natural_language,1e-07,0.7003571428571428,0.4204801587301587,-0.2798769841269841,0.7,1
MedCPT,Synthetic,natural_language,1e-06,0.7003571428571428,0.4205198412698412,-0.2798373015873016,0.7,1
MedCPT,Synthetic,natural_language,1e-05,0.7003571428571428,0.4325912698412699,-0.2677658730158729,0.7,1
MedCPT,Synthetic,natural_language,0.0001,0.7003571428571428,0.4472777777777777,-0.25307936507936507,0.72,1
MedCPT,Synthetic,natural_language,0.001,0.7003571428571428,0.5421666666666667,-0.1581904761904761,0.82,1
MedCPT,Synthetic,natural_language,0.01,0.7003571428571428,0.600468253968254,-0.0998888888888888,0.89,1
BGE-base,MTSamples,keyword,1e-07,0.9241666666666666,0.8918015873015872,-0.032365079365079374,0.96,1
BGE-base,MTSamples,keyword,1e-06,0.9241666666666666,0.8918015873015872,-0.032365079365079374,0.96,1
BGE-base,MTSamples,keyword,1e-05,0.9241666666666666,0.8918015873015872,-0.032365079365079374,0.96,1
BGE-base,MTSamples,keyword,0.0001,0.9241666666666666,0.8923730158730158,-0.03179365079365082,0.96,1
BGE-base,MTSamples,keyword,0.001,0.9241666666666666,0.9106666666666666,-0.013499999999999956,0.97,1
BGE-base,MTSamples,keyword,0.01,0.9241666666666666,0.9158333333333334,-0.008333333333333193,0.98,1
BGE-base,MTSamples,natural_language,1e-07,0.9191666666666666,0.8879444444444445,-0.03122222222222204,0.94,1
BGE-base,MTSamples,natural_language,1e-06,0.9191666666666666,0.8924444444444444,-0.026722222222222203,0.94,1
BGE-base,MTSamples,natural_language,1e-05,0.9191666666666666,0.8879444444444445,-0.03122222222222204,0.94,1
BGE-base,MTSamples,natural_language,0.0001,0.9191666666666666,0.8943333333333334,-0.024833333333333152,0.94,1
BGE-base,MTSamples,natural_language,0.001,0.9191666666666666,0.9065833333333333,-0.01258333333333328,0.95,1
BGE-base,MTSamples,natural_language,0.01,0.9191666666666666,0.9360277777777778,0.016861111111111216,0.98,1
BGE-base,PMC-Patients,keyword,1e-07,0.95625,0.9227777777777777,-0.03347222222222235,0.98,1
BGE-base,PMC-Patients,keyword,1e-06,0.95625,0.9227777777777777,-0.03347222222222235,0.98,1
BGE-base,PMC-Patients,keyword,1e-05,0.95625,0.9227777777777777,-0.03347222222222235,0.98,1
BGE-base,PMC-Patients,keyword,0.0001,0.95625,0.9244444444444444,-0.03180555555555564,0.98,1
BGE-base,PMC-Patients,keyword,0.001,0.95625,0.948095238095238,-0.008154761904762053,0.98,1
BGE-base,PMC-Patients,keyword,0.01,0.95625,0.9558333333333333,-0.0004166666666667318,0.99,1
BGE-base,PMC-Patients,natural_language,1e-07,0.9683333333333334,0.9433333333333335,-0.02499999999999991,0.98,1
BGE-base,PMC-Patients,natural_language,1e-06,0.9683333333333334,0.9433333333333335,-0.02499999999999991,0.98,1
BGE-base,PMC-Patients,natural_language,1e-05,0.9683333333333334,0.9433333333333335,-0.02499999999999991,0.98,1
BGE-base,PMC-Patients,natural_language,0.0001,0.9683333333333334,0.9436666666666668,-0.024666666666666615,0.98,1
BGE-base,PMC-Patients,natural_language,0.001,0.9683333333333334,0.955,-0.01333333333333342,0.99,1
BGE-base,PMC-Patients,natural_language,0.01,0.9683333333333334,0.9686111111111111,0.0002777777777777102,1.0,1
BGE-base,Synthetic,keyword,1e-07,0.728345238095238,0.5804563492063493,-0.14788888888888874,0.77,1
BGE-base,Synthetic,keyword,1e-06,0.728345238095238,0.5821230158730158,-0.14622222222222214,0.77,1
BGE-base,Synthetic,keyword,1e-05,0.728345238095238,0.5804563492063493,-0.14788888888888874,0.77,1
BGE-base,Synthetic,keyword,0.0001,0.728345238095238,0.6141309523809525,-0.11421428571428549,0.82,1
BGE-base,Synthetic,keyword,0.001,0.728345238095238,0.6809563492063491,-0.047388888888888925,0.88,1
BGE-base,Synthetic,keyword,0.01,0.728345238095238,0.7075238095238094,-0.020821428571428546,0.92,1
BGE-base,Synthetic,natural_language,1e-07,0.7354722222222222,0.5593015873015873,-0.1761706349206349,0.81,1
BGE-base,Synthetic,natural_language,1e-06,0.7354722222222222,0.5593015873015873,-0.1761706349206349,0.81,1
BGE-base,Synthetic,natural_language,1e-05,0.7354722222222222,0.5668015873015873,-0.16867063492063494,0.81,1
BGE-base,Synthetic,natural_language,0.0001,0.7354722222222222,0.6055396825396825,-0.1299325396825397,0.84,1
BGE-base,Synthetic,natural_language,0.001,0.7354722222222222,0.6746785714285715,-0.06079365079365073,0.86,1
BGE-base,Synthetic,natural_language,0.01,0.7354722222222222,0.7021111111111111,-0.033361111111111064,0.89,1
GTE-base,MTSamples,keyword,1e-07,0.9267619047619047,0.6781944444444445,-0.24856746031746013,0.93,1
GTE-base,MTSamples,keyword,1e-06,0.9267619047619047,0.8892063492063491,-0.037555555555555564,0.94,1
GTE-base,MTSamples,keyword,1e-05,0.9267619047619047,0.8893452380952381,-0.03741666666666654,0.94,1
GTE-base,MTSamples,keyword,0.0001,0.9267619047619047,0.8911904761904762,-0.035571428571428476,0.94,1
GTE-base,MTSamples,keyword,0.001,0.9267619047619047,0.8978611111111111,-0.028900793650793566,0.98,1
GTE-base,MTSamples,keyword,0.01,0.9267619047619047,0.9121785714285714,-0.014583333333333282,1.0,1
