Corpus,Configuration,Nominal tier,Query format,Documents sampled,Draws,Full-sample dMRR@10,Draws with correct sign,Agreement rate,Wilson lower,Wilson upper,reference sign,contributes to
mimic_discharge,MedCPT,1,nl,10,500,-0.0693,150,0.3,0.2615,0.3416,negative,specificity
mimic_discharge,MedCPT,1,nl,20,500,-0.0693,123,0.246,0.2103,0.2856,negative,specificity
mimic_discharge,MedCPT,1,nl,30,500,-0.0693,123,0.246,0.2103,0.2856,negative,specificity
mimic_discharge,MedCPT,1,nl,50,500,-0.0693,188,0.376,0.3346,0.4193,negative,specificity
mimic_discharge,MedCPT,1,nl,75,500,-0.0693,348,0.696,0.6543,0.7347,negative,specificity
mimic_discharge,Nomic-embed-text,1,keyword,10,500,-0.0854,115,0.23,0.1953,0.2689,negative,specificity
mimic_discharge,Nomic-embed-text,1,keyword,20,500,-0.0854,236,0.472,0.4286,0.5158,negative,specificity
mimic_discharge,Nomic-embed-text,1,keyword,30,500,-0.0854,296,0.592,0.5484,0.6342,negative,specificity
mimic_discharge,Nomic-embed-text,1,keyword,50,500,-0.0854,413,0.826,0.7903,0.8567,negative,specificity
mimic_discharge,Nomic-embed-text,1,keyword,75,500,-0.0854,498,0.996,0.9855,0.9989,negative,specificity
mimic_discharge,Nomic-embed-text,1,nl,10,500,-0.0819,130,0.26,0.2235,0.3002,negative,specificity
mimic_discharge,Nomic-embed-text,1,nl,20,500,-0.0819,231,0.462,0.4188,0.5058,negative,specificity
mimic_discharge,Nomic-embed-text,1,nl,30,500,-0.0819,282,0.564,0.5202,0.6068,negative,specificity
mimic_discharge,Nomic-embed-text,1,nl,50,500,-0.0819,449,0.898,0.8684,0.9216,negative,specificity
mimic_discharge,Nomic-embed-text,1,nl,75,500,-0.0819,500,1.0,0.9924,1.0,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,keyword,10,500,-0.0507,240,0.48,0.4365,0.5238,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,keyword,20,500,-0.0507,331,0.662,0.6194,0.7021,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,keyword,30,500,-0.0507,376,0.752,0.7123,0.7878,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,keyword,50,500,-0.0507,427,0.854,0.8204,0.8823,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,keyword,75,500,-0.0507,486,0.972,0.9536,0.9832,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,nl,10,500,-0.0845,125,0.25,0.214,0.2898,negative,specificity
